Location,Bedrooms,Bath,Floor_area (sqm),Latitude,Longitude,Price (PHP)
"Highway Hills, Mandaluyong",2,2,84.0,14.578255,121.052143,16974060.0
"Oranbo, Pasig",1,1,67.0,14.575822,121.064324,21856000.0
"Ugong, Pasig",2,1,89.0,14.588882,121.079016,27405000.0
"Paligsahan, Quezon City",1,1,24.0,14.631613,121.023475,3040080.0
"San Antonio, Pasig",1,1,82.0,14.588716,121.060009,27975000.0
"Ortigas CBD, Pasig",1,1,47.0,14.583771,121.059675,11054400.0
"Ortigas CBD, Pasig",1,1,47.0,14.583771,121.059675,11088000.0
"San Antonio, Pasig",2,2,109.0,14.588377,121.059897,44056000.0
"Oranbo, Pasig",1,1,67.0,14.575822,121.064324,23578000.0
"San Antonio, Pasig",1,1,74.0,14.588377,121.059897,26849000.0
"Zapatera, Cebu",1,1,37.0,10.305725,123.904993,5029302.0
"Oranbo, Pasig",1,1,65.0,14.575822,121.064324,22561000.0
"San Antonio, Pasig",2,2,114.0,14.588377,121.059897,42359000.0
"Ugong, Pasig",1,1,56.0,14.588882,121.079016,15702000.0
"Highway Hills, Mandaluyong",2,2,84.0,14.578255,121.052143,16940448.0
"Barangka Ilaya, Mandaluyong",2,2,51.0,14.571338,121.04641,12700000.0
"Barangka Ilaya, Mandaluyong",1,1,19.0,14.571338,121.04641,2378396.0
"Oranbo, Pasig",1,1,67.0,14.575822,121.064324,22403000.0
"Cupang, Muntinlupa",2,1,58.0,14.434669,121.040194,5446700.0
"Cupang, Muntinlupa",3,1,250.0,14.434669,121.040194,28844000.0
"Diliman, Quezon City",1,1,40.0,14.644874,121.050593,6500000.0
"Ugong, Pasig",2,1,89.0,14.588882,121.079016,26640000.0
"Ortigas CBD, Pasig",1,1,44.0,14.583771,121.059675,11144000.0
"Ugong, Pasig",1,1,58.0,14.588882,121.079016,16462000.0
"Talamban, Cebu",3,2,72.0,10.36171,123.911374,8000000.0
"Oranbo, Pasig",2,2,104.0,14.575822,121.064324,31734000.0
"Novaliches, Quezon City",3,2,54.0,14.68155,121.0198,7802700.0
"Highway Hills, Mandaluyong",1,1,31.0,14.578255,121.052143,7722220.0
"Highway Hills, Mandaluyong",1,1,31.0,14.578255,121.052143,7722220.0
"San Antonio, Davao",1,2,50.0,7.095857,125.630475,7320000.0
"San Antonio, Pasig",1,1,93.0,14.588716,121.060009,31892000.0
"Pag-Ibig Sa Nayon, Quezon City",2,2,100.0,14.646511,120.996952,11800000.0
"Alabang, Muntinlupa",2,2,72.0,14.4179774,121.037608,11088000.0
"Wack-Wack Greenhills, Mandaluyong",1,1,121.0,14.592173,121.053333,30900184.0
